"V1" "V2"
"202" "LAN" 105753.589856731
"203" "EHA" 105401.575437424
"204" "IAS" 104600.52495674
"205" "OLO" 104012.175768288
"206" "OSI" 104005.956432257
"207" "ONO" 103872.862641212
"208" "LAD" 103748.475920609
"209" "IAD" 103670.112286629
"210" "NAS" 103066.836691704
"211" "ASC" 103060.617355674
"212" "ERT" 103056.885754056
"213" "OEL" 102622.776099151
"214" "ANC" 101140.086389563
"215" "APR" 101069.185958819
"216" "EGU" 100934.848300568
"217" "NDI" 100714.6838051
"218" "INT" 100712.196070688
"219" "RMA" 100439.789152567
"220" "CAD" 100352.718448145
"221" "MOS" 100250.721337251
"222" "AES" 99555.3995690796
"223" "BIE" 99450.914723773
"224" "DOE" 98908.5886219437
"225" "URA" 98709.5698689787
"226" "DAS" 98687.1802592702
"227" "DEP" 98460.7964277726
"228" "ORI" 98281.6795501042
"229" "ASP" 98194.608845682
"230" "TRE" 98136.1470869986
"231" "TAL" 97649.7950094406
"232" "NEN" 97435.8498500033
"233" "AMI" 97200.7589480635
"234" "ASO" 96410.903272234
"235" "NTI" 96321.3448333998
"236" "SIO" 96072.5713921936
"237" "NAC" 95135.9393860525
"238" "RAE" 95094.8917682535
"239" "AÑO" 94711.7806687961
"240" "OPO" 94598.5887530473
"241" "ELD" 91847.1544933073
"242" "MAR" 91761.3276560912
"243" "ESO" 91599.6249193072
"244" "OES" 91011.2757308547
"245" "ECT" 90888.1328774577
"246" "TAM" 90426.6581440203
"247" "ELL" 90424.1704096082
"248" "ERS" 90130.617748985
"249" "EAL" 90075.8875919196
"250" "GRA" 90033.5961069146
"251" "MER" 89893.0391126331
"252" "ALD" 89845.7721588039
"253" "SID" 89652.9727418692
"254" "DIA" 89395.4922302208
"255" "ELI" 89263.6423063816
"256" "OST" 88253.6221350846
"257" "ELM" 88190.1849075771
"258" "AST" 87965.0449432855
"259" "UED" 87707.5644316371
"260" "OSO" 87392.8660285114
"261" "CTO" 87331.9165354159
"262" "ORT" 87195.0911427525
"263" "TIV" 87132.897782451
"264" "FIC" 86696.3003931342
"265" "RTE" 86571.9136725311
"266" "ASU" 85953.7116711338
"267" "OAL" 85754.6929181689
"268" "SCA" 85666.3783465408
"269" "RAR" 85540.7477587317
"270" "COS" 85043.2008763194
"271" "LLA" 84913.8386868922
"272" "ADI" 84487.1922352236
"273" "INC" 84130.2023470928
"274" "DIC" 84089.1547292938
"275" "OME" 84013.278829726
"276" "RTI" 83757.0421852836
"277" "ERN" 83706.0436298364
"278" "SEG" 83683.6540201278
"279" "CAN" 83637.6309335047
"280" "MIE" 83569.218237173
"281" "NSE" 83564.2427683489
"282" "GEN" 83293.0797174342
"283" "MIN" 83230.8863571326
"284" "ATA" 83066.6958859366
"285" "ACE" 83020.6727993134
"286" "OPA" 83006.9902600471
"287" "ANI" 82951.0162357757
"288" "UND" 82618.9036917655
"289" "ONC" 82437.299079685
"290" "SEL" 82040.5054409612
"291" "ATI" 81827.80414873
"292" "EMP" 81761.8791868104
"293" "ARO" 80751.8590155134
"294" "ECE" 80597.6194819656
"295" "IZA" 80552.8402625485
"296" "IAN" 80462.0379565083
"297" "LPA" 80381.1865881163
"298" "SUS" 80372.4795176741
"299" "CER" 80190.8749055936
"300" "ROD" 80146.0956861765
"301" "FUE" 79871.2010336437
"302" "VER" 79760.496852307
"303" "ANE" 79484.3583325682
"304" "ATO" 79185.8302031208
"305" "ODO" 79081.3453578142
"306" "TIE" 78859.9369951407
"307" "RTA" 78745.5012121859
"308" "NER" 78512.8980446582
"309" "BLE" 78256.6614002158
"310" "CIE" 78183.27323506
"311" "SAN" 78128.5430779947
"312" "NQU" 77538.9500223361
"313" "ARL" 77443.1722474718
"314" "ATE" 77353.6138086375
"315" "LLE" 76992.8923188886
"316" "ORD" 76958.0640371198
"317" "ORM" 76822.4825116624
"318" "ROP" 76637.1462979639
"319" "ILI" 76480.419030004
"320" "OSS" 76415.7379352904
"321" "GUN" 76353.5445749889
"322" "OSM" 76319.960160426
"323" "LLO" 76183.1347677626
"324" "ENI" 76117.209805843
"325" "EPR" 75566.1766335714
"326" "ISI" 75491.5446012096
"327" "ERR" 75384.5720214909
"328" "TED" 75262.6730352999
"329" "NAR" 75234.0640895612
"330" "SSE" 75142.017916315
"331" "OLI" 74920.6095536415
"332" "DOR" 74725.3224022947
"333" "CES" 74474.0612266765
"334" "ENU" 74317.3339587166
"335" "OUN" 74233.9948559125
"336" "NDA" 73715.3022309977
"337" "SLA" 73624.4999249575
"338" "CUE" 73471.5042586157
"339" "ETE" 73046.1016741532
"340" "SPR" 72959.0309697311
"341" "DIO" 72832.1565147159
"342" "SON" 72746.3296774998
"343" "POS" 72602.0410816003
"344" "DOD" 72598.3094799822
"345" "AAL" 72524.9213148264
"346" "NLO" 72430.387407168
"347" "ETA" 72391.8275237811
"348" "CEN" 72365.7063124544
"349" "OCI" 72181.6139659619
"350" "MAD" 72124.3960744845
"351" "SOL" 71987.5706818211
"352" "LCO" 71698.993490022
"353" "DET" 71684.0670835496
"354" "AIN" 71670.3845442833
"355" "AMB" 71549.7294252983
"356" "PRI" 71455.1955176399
"357" "NIC" 70777.2878903532
"358" "SUN" 70771.0685543231
"359" "PAS" 70676.5346466647
"360" "LEN" 70539.7092540013
"361" "CUA" 70519.8073787048
"362" "UNT" 70483.73522973
"363" "EMO" 70263.5707342625
"364" "LAE" 70171.5245610163
"365" "OTR" 70039.674637177
"366" "OCA" 69911.5563149558
"367" "ONL" 69629.1984591869
"368" "ERD" 69527.2013482924
"369" "INO" 69443.8622454883
"370" "CAL" 69380.4250179807
"371" "OBR" 69375.4495491566
"372" "CHO" 69279.6717742922
"373" "OMI" 69052.0440755886
"374" "ILL" 68994.8261841112
"375" "HAC" 68955.0224335182
"376" "DED" 68879.1465339503
"377" "MIL" 68877.9026667443
"378" "EPA" 68769.6862198196
"379" "LID" 68747.2966101111
"380" "RAT" 68605.4957486236
"381" "OMA" 68503.4986377291
"382" "SAD" 68430.1104725733
"383" "MIS" 68158.9474216586
"384" "ALL" 68121.6314054776
"385" "ERC" 68114.1682022415
"386" "UNC" 67217.3399466933
"387" "ULT" 67198.6819386029
"388" "EIN" 67197.4380713968
"389" "VEN" 67058.1249443214
"390" "ATR" 66772.0354869343
"391" "LPR" 66569.2851323513
"392" "ACT" 66530.7252489644
"393" "SAR" 66517.042709698
"394" "TAC" 66349.1206368839
"395" "SEC" 66242.1480571653
"396" "ELS" 66181.1985640698
"397" "FOR" 66110.298133326
"398" "NID" 66105.3226645019
"399" "IOD" 66071.7382499391
"400" "INI" 65840.3789496173
"401" "REA" 65768.2346516675
"402" "AVI" 65490.8522647227
"403" "DOA" 65406.2692947126
"404" "DEU" 65349.0514032352
"405" "ARD" 65275.6632380794
"406" "EGA" 65110.2288996773
"407" "ECU" 64630.0961581495
"408" "DEB" 64564.1711962298
"409" "LAI" 64458.4424837172
"410" "ARR" 64128.8176741191
"411" "SMO" 64096.4771267623
"412" "EVI" 64071.5997826417
"413" "EVA" 64065.3804466115
"414" "CIN" 63836.5088807019
"415" "MED" 63735.7556370134
"416" "MBI" 63362.5954752042
"417" "NSU" 63321.5478574052
"418" "TEL" 63284.2318412242
"419" "SOB" 63279.2563724001
"420" "APE" 63101.3833619377
"421" "CAM" 63040.4338688422
"422" "HAB" 63010.5810558975
"423" "ARC" 62781.7094899878
"424" "IND" 62776.7340211637
"425" "OHA" 62712.0529264501
"426" "OMP" 62708.321324832
"427" "RIM" 62585.178471435
"428" "ISM" 62382.428116852
"429" "SRE" 62183.4093638871
"430" "IME" 62175.9461606509
"431" "TUR" 62031.6575647513
"432" "MUN" 62014.2434238669
"433" "URO" 61920.9533834146
"434" "LAA" 61906.0269769422
"435" "RQU" 61802.7859988417
"436" "EDA" 61784.1279907512
"437" "ITU" 61680.8870126507
"438" "RIS" 61396.0414224696
"439" "NSI" 61123.6345043489
"440" "CHA" 60930.8350874141
"441" "RID" 60790.2780931327
"442" "ACU" 60514.1395733938
"443" "ABL" 60432.0443377958
"444" "ÑOS" 60213.1237095344
"445" "UEV" 60116.102067464
"446" "ECA" 60066.3473792228
"447" "ELT" 60007.8856205394
"448" "ECH" 59364.8062750215
"449" "OSU" 59272.7601017752
"450" "ONI" 59272.7601017752
"451" "ERM" 59262.809164127
"452" "PON" 59087.4238880766
"453" "CRE" 59032.6937310113
"454" "NUE" 59004.0847852726
"455" "NCA" 58990.4022460062
"456" "AVE" 58964.2810346796
"457" "DOP" 58691.8741165589
"458" "RRE" 58571.2189975739
"459" "CCI" 58114.7197329606
"460" "DIS" 58057.5018414832
"461" "RET" 57994.0646139756
"462" "RSE" 57879.6288310208
"463" "LEG" 57758.9737120358
"464" "SUP" 57727.8770318851
"465" "COR" 57501.4932003875
"466" "TIN" 57350.9852684578
"467" "BRA" 57260.1829624175
"468" "IVA" 57253.9636263874
"469" "MPO" 56931.8020200254
"470" "ABI" 56669.3460395529
"471" "ETR" 56638.2493594022
"472" "OPE" 56511.374904387
"473" "ORL" 56470.327286588
"474" "ITO" 56428.035801583
"475" "DOL" 56414.3532623166
"476" "TID" 56118.3128672813
"477" "OLE" 56032.4860300652
"478" "ETO" 56001.3893499144
"479" "ETI" 55908.0993094621
"480" "LAL" 55864.5639572511
"481" "PAÑ" 55858.3446212209
"482" "NOC" 55756.3475103264
"483" "LCA" 55598.3763751605
"484" "BER" 55579.71836707
"485" "IMI" 55486.4283266177
"486" "SAS" 55362.0416060147
"487" "EME" 55210.2898068789
"488" "CID" 55197.8511348186
"489" "INE" 55156.8035170196
"490" "BAN" 54997.5885146477
"491" "UAN" 54925.4442166979
"492" "OSQ" 54839.6173794818
"493" "TEE" 54641.8424937229
"494" "DEF" 54628.1599544565
"495" "SMA" 54580.8930006274
"496" "LAT" 54483.871358557
"497" "CUL" 54472.6765537027
"498" "NSA" 54256.2436598534
"499" "IFI" 54024.8843595317
"500" "MBR" 54023.6404923256
"501" "IVO" 53997.519280999
"502" "TEA" 53822.1340049487
"503" "HAS" 53681.5770106672
"504" "GAR" 53639.2855256621
"505" "RSO" 53486.2898593204
"506" "ITI" 53329.5625913605
"507" "DOC" 53247.4673557625
"508" "RAB" 52843.2105138025
"509" "NCE" 52824.552505712
"510" "IRA" 52716.3360587874
"511" "RAM" 52613.0950806868
"512" "CRI" 52467.5626175812
"513" "OBI" 52298.396677561
"514" "RNO" 52126.7430031288
"515" "OSY" 52085.6953853298
"516" "SOS" 52060.8180412092
"517" "OSL" 52021.0142906162
"518" "DDE" 51986.1860088473
"519" "UNO" 51858.0676866262
"520" "AYE" 51802.0936623548
"521" "EPO" 51619.2451830683
"522" "AMO" 51540.8815490883
"523" "BAR" 51477.4443215808
"524" "UAL" 51416.4948284853
"525" "SIS" 51346.8382649475
"526" "IMA" 51328.1802568571
"527" "UIE" 51224.9392787565
"528" "ASS" 51001.043181671
"529" "ESS" 50904.0215396006
"530" "EPE" 50844.3159137111
"531" "IMO" 50742.3188028166
"532" "UEA" 50724.9046619322
"533" "RLO" 50688.8325129573
"534" "NIS" 50596.786339711
"535" "EXP" 50559.4703235301
"536" "IMP" 50514.691104113
"537" "ELG" 50510.9595024949
"538" "LAV" 50488.5698927864
"539" "OTA" 50399.0114539521
"540" "TRI" 50334.3303592385
"541" "SAC" 50321.8916871782
"542" "POD" 50212.4313730475
"543" "RUN" 50111.6781293591
"544" "ALM" 50013.4126200826
"545" "AÑA" 49969.8772678716
"546" "TEM" 49876.5872274193
"547" "MPL" 49808.1745310876
"548" "TIM" 49736.0302331378
"549" "SEM" 49719.8599594594
"550" "VIS" 49716.1283578413
"551" "ULA" 49672.5930056302
"552" "LON" 49554.4256210573
"553" "HAN" 49360.3823369165
"554" "SOC" 49249.6781555798
"555" "POL" 49207.3866705747
"556" "NOD" 49167.5829199817
"557" "LTA" 49143.9494430672
"558" "SCU" 49107.8772940923
"559" "LIA" 49097.926356444
"560" "GAN" 49092.9508876199
"561" "PLA" 49070.5612779114
"562" "RED" 48886.4689314188
"563" "EMI" 48869.0547905344
"564" "IAE" 48662.5728343333
"565" "AHA" 48515.7965040217
"566" "NPA" 48513.3087696096
"567" "LAB" 48436.1890028357
"568" "MPR" 48273.2423988457
"569" "OTE" 48079.1991147049
"570" "SIT" 48035.6637624938
"571" "SEA" 47999.5916135189
"572" "SEP" 47952.3246596898
"573" "ALC" 47766.9884459912
"574" "AFI" 47584.1399667047
"575" "NAN" 47437.363636393
"576" "SHA" 47436.119769187
"577" "ARS" 47347.8051975588
"578" "RRA" 47178.6392575386
"579" "RCO" 47178.6392575386
"580" "RRO" 47167.4444526844
"581" "VID" 47102.7633579708
"582" "LEC" 47085.3492170863
"583" "ADD" 47021.9119895788
"584" "REG" 46755.7244074882
"585" "IEM" 46749.5050714581
"586" "FER" 46627.606085267
"587" "TUA" 46448.4892075986
"588" "LIN" 46266.8845955181
"589" "RTO" 46218.3737744829
"590" "ARG" 46187.2770943322
"591" "LME" 46148.7172109452
"592" "LIZ" 46038.0130296085
"593" "COL" 46034.2814279904
"594" "REP" 45913.6263090054
"595" "UDA" 45901.1876369451
"596" "SPU" 45887.5050976788
"597" "TEC" 45886.2612304727
"598" "LTI" 45442.2006379198
"599" "ZAD" 45432.2497002715
"600" "CLA" 45055.3579368442
"601" "LIT" 45029.2367255176
"602" "ESQ" 44877.4849263818
"603" "RCA" 44838.9250429949
"604" "UCI" 44823.9986365225
"605" "IAC" 44770.5123466632
"606" "ADR" 44562.7865232561
"607" "GAD" 44453.3262091254
"608" "SED" 44394.8644504419
"609" "UEC" 44306.5498788137
"610" "DON" 44248.0881201303
"611" "HOR" 44194.601830271
"612" "ASL" 44004.2901477483
"613" "ODI" 43985.6321396578
"614" "ANS" 43818.9539340497
"615" "OMU" 43719.4445575673
"616" "LQU" 43692.0794790346
"617" "NIN" 43627.398384321
"618" "UEP" 43545.303148723
"619" "IAR" 43515.4503357782
"620" "SLO" 43427.13576415
"621" "DID" 43246.7750192756
"622" "LAF" 43230.6047455972
"623" "PAL" 43220.6538079489
"624" "ALG" 43154.7288460293
"625" "BAJ" 43046.5123991046
"626" "TAB" 43039.0491958685
"627" "LEM" 42983.0751715971
"628" "ESY" 42966.9048979187
"629" "LAG" 42934.5643505619
"630" "ALT" 42929.5888817378
"631" "EUR" 42709.4243862703
"632" "ANU" 42642.2555571447
"633" "SEE" 42543.9900478682
"634" "UEH" 42505.4301644813
"635" "NCU" 42446.9684057978
"636" "NOE" 42433.2858665315
"637" "OCU" 42424.5787960893
"638" "EVE" 42378.5557094662
"639" "RAP" 42369.8486390239
"640" "RAA" 42346.2151621094
"641" "SSO" 42281.5340673958
"642" "RIT" 42198.1949645917
"643" "RIC" 42123.5629322299
"644" "IVI" 42067.5889079585
"645" "SDI" 42015.3464853052
"646" "IRE" 41843.692810873
"647" "RNA" 41798.9135914558
"648" "NOM" 41741.6956999784
"649" "NST" 41606.1141745211
"650" "TOE" 41413.3147575863
"651" "SIA" 41400.876085526
"652" "OCE" 41382.2180774356
"653" "UTO" 41361.072334933
"654" "ROL" 41358.584600521
"655" "ROC" 41190.6625277068
"656" "ONU" 41184.4431916767
"657" "PLI" 41102.3479560787
"658" "TAE" 41099.8602216666
"659" "ROM" 41020.2527204806
"660" "NVE" 40982.9367042997
"661" "REE" 40946.8645553248
"662" "ONF" 40863.5254525208
"663" "ONP" 40658.2873635257
"664" "NAP" 40627.1906833749
"665" "PEC" 40594.8501360181
"666" "EMB" 40479.1704858573
"667" "ASQ" 40446.8299385005
"668" "DIR" 40346.076694812
"669" "FIN" 40227.9093102391
"670" "UST" 40158.2527467013
"671" "RIN" 40154.5211450833
"672" "YDE" 39946.7953216761
"673" "ESL" 39877.1387581384
"674" "EJO" 39783.8487176861
"675" "ASM" 39688.0709428217
"676" "EGO" 39674.3884035554
"677" "SAB" 39669.4129347313
"678" "MON" 39587.3176991333
"679" "ELR" 39533.8314092739
"680" "VIE" 39502.7347291232
"681" "CTI" 39501.4908619171
"682" "UCH" 39460.4432441181
"683" "TOA" 39392.0305477864
"684" "LRE" 39352.2267971934
"685" "EFE" 39347.2513283693
"686" "UNP" 39336.056523515
"687" "JER" 39251.473553505
"688" "AYO" 39215.4014045301
"689" "PEN" 39168.1344507009
"690" "NOR" 39144.5009737863
"691" "ZAR" 39112.1604264295
"692" "INS" 39063.6496053943
"693" "UME" 39048.723198922
"694" "TON" 39035.0406596556
"695" "DEJ" 38942.9944864093
"696" "DAR" 38921.8487439068
"697" "UDI" 38789.9988200676
"698" "CAC" 38553.6640509217
"699" "DIE" 38493.9584250323
"700" "NIO" 38375.7910404593
"701" "EAC" 38369.5717044292
"702" "ING" 38349.6698291327
"703" "MAL" 38338.4750242784
"704" "NZA" 38048.6539652733
"705" "UNE" 37947.9007215848
"706" "GUE" 37852.1229467204
"707" "VAL" 37844.6597434842
"708" "SIE" 37700.3711475847
"709" "SEH" 37684.2008739063
"710" "OSH" 37563.5457549213
"711" "LOQ" 37498.8646602077
"712" "LGO" 37441.6467687303
"713" "NMA" 37395.6236821071
"714" "ABE" 37357.0637987202
"715" "IGU" 37282.4317663583
"716" "OVI" 37265.0176254739
"717" "SMI" 37197.8487963483
"718" "YLA" 37190.3855931121
"719" "FRA" 37082.1691461874
"720" "ORR" 36794.8358215943
"721" "OMB" 36676.6684370214
"722" "DEI" 36666.7174993732
"723" "REM" 36395.5544484585
"724" "BIL" 36342.0681585991
"725" "YER" 36308.4837440363
"726" "ILE" 36291.0696031519
"727" "CEL" 36246.2903837348
"728" "ERV" 36233.8517116745
"729" "CAT" 36201.5111643177
"730" "BLI" 36119.4159287196
"731" "ODA" 36102.0017878352
"732" "ALP" 35904.2269020763
"733" "LEV" 35690.281742639
"734" "ISP" 35649.23412484
"735" "ROT" 35644.2586560159
"736" "LAU" 35644.2586560159
"737" "MOD" 35633.0638511616
"738" "SIG" 35613.1619758651
"739" "REV" 35610.6742414531
"740" "LSE" 35595.7478349807
"741" "DUC" 35585.7968973325
"742" "AHO" 35573.3582252722
"743" "DEQ" 35553.4563499757
"744" "GOB" 35523.6035370309
"745" "OPU" 35458.9224423173
"746" "ABO" 35422.8502933424
"747" "INF" 35411.6554884882
"748" "MIT" 35381.8026755434
"749" "MPA" 35373.0956051012
"750" "NRE" 35294.7319711213
"751" "ASY" 35208.9051339052
"752" "CIP" 35179.0523209604
"753" "ENP" 35166.6136489001
"754" "AUT" 35054.6656003574
"755" "UET" 35042.2269282971
"756" "GUR" 34927.7911453422
"757" "ABR" 34892.9628635734
"758" "EDO" 34883.0119259251
"759" "RDO" 34785.9902838547
"760" "SIC" 34701.4073138446
"761" "LMA" 34683.9931729602
"762" "TIT" 34664.0912976637
"763" "SUL" 34664.0912976637
"764" "NPO" 34640.4578207491
"765" "NAM" 34637.9700863371
"766" "LOG" 34484.9744199953
"767" "TIR" 34384.2211763068
"768" "EVO" 34325.7594176234
"769" "ANP" 34274.7608621761
"770" "AJO" 34261.0783229098
"771" "LIS" 34248.6396508495
"772" "EGI" 34210.0797674625
"773" "ESM" 34152.8618759851
"774" "EBA" 34127.9845318645
"775" "ROB" 34076.9859764172
"776" "ISC" 34033.4506242061
"777" "DEV" 34030.9628897941
"778" "LIG" 33991.1591392011
"779" "DAP" 33887.9181611006
"780" "EJE" 33719.9960882864
"781" "ENM" 33646.6079231306
"782" "SME" 33626.7060478341
"783" "RMI" 33615.5112429798
"784" "NPR" 33608.0480397436
"785" "BIA" 33389.1274114822
"786" "NAE" 33316.9831135325
"787" "AJA" 33310.7637775023
"788" "AGA" 33257.277487643
"789" "GUI" 33002.2847104067
"790" "ROE" 32973.675764668
"791" "ALU" 32962.4809598137
"792" "DAN" 32945.0668189293
"793" "LOR" 32943.8229517232
"794" "OSR" 32938.8474828991
"795" "DEH" 32884.1173258338
"796" "ONV" 32733.6093939041
"797" "OTI" 32716.1952530196
"798" "YEL" 32667.6844319844
"799" "FRE" 32520.9081016728
"800" "USA" 32494.7868903462
"801" "CTU" 32461.2024757833
"802" "NSO" 32456.2270069592
"803" "RRI" 32370.4001697431
"804" "EJA" 32310.6945438536
"805" "SNO" 32288.3049341451
"806" "DAE" 32232.3309098737
"807" "TAA" 32193.7710264867
"808" "RDI" 32114.1635253008
"809" "AMP" 32040.775360145
"810" "AAC" 32022.1173520545
"811" "TOL" 32013.4102816123
"812" "NOT" 31954.9485229288
"813" "CAP" 31948.7291868987
"814" "VAR" 31932.5589132203
"815" "EFI" 31920.12024116
"816" "VAS" 31902.7061002755
"817" "HAY" 31833.0495367378
"818" "OIN" 31821.8547318836
"819" "MES" 31793.2457861448
"820" "MAY" 31789.5141845268
"821" "IOE" 31767.1245748182
"822" "AMU" 31743.4910979036
"823" "AGE" 31637.762385391
"824" "AIS" 31583.0322283257
"825" "RGA" 31509.6440631698
"826" "NIA" 31481.0351174311
"827" "OPR" 31447.4507028683
"828" "LAO" 31329.2833182954
"829" "EBE" 31304.4059741748
"830" "PAC" 31295.6989037326
"831" "RIE" 31120.3136276822
"832" "NAT" 31105.3872212099
"833" "DAL" 31095.4362835616
"834" "IAA" 31090.4608147375
"835" "NOP" 31055.6325329686
"836" "OBL" 31038.2183920842
"837" "MAT" 31008.3655791395
"838" "ORG" 30953.6354220741
"839" "ERL" 30948.65995325
"840" "OVE" 30910.100069863
"841" "UGA" 30859.1015144158
"842" "DEO" 30824.2732326469
"843" "SIM" 30758.3482707273
"844" "ELF" 30704.861980868
